"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
738899,"December 31, 2016",Florida,Pensacola,"3 Talladega Trail",1,1,N/A
739221,"December 31, 2016",Georgia,Covington,"9176 US 278",0,1,N/A
739000,"December 31, 2016",Michigan,Wyoming,"3500 block of Goodman Avenue SW",0,1,N/A
739278,"December 31, 2016",Nevada,Reno,"701 E 7th St",0,1,N/A
739498,"December 31, 2016",Oklahoma,Norman,"1800 Block of Virginia St",1,0,N/A
737814,"December 30, 2016",Georgia,Lincolnton,"Nethania Farm Road",1,0,N/A
738142,"December 30, 2016",Illinois,Chicago,"8200 block of S Ingleside",1,1,N/A
737991,"December 30, 2016",Alabama,Montgomery,"100 block of Longbrook Drive",2,2,N/A
739011,"December 30, 2016",Florida,Destin,"405 Harbor Blvd",0,1,N/A
737957,"December 30, 2016",Arizona,Phoenix,"71st and Indian School",0,1,N/A
738914,"December 30, 2016",Arizona,Laveen,"5115 W Southern Ave",0,1,N/A
737847,"December 30, 2016",Delaware,Magnolia,"Flint Dr",0,1,N/A
739505,"December 30, 2016","South Carolina","Myrtle Beach","S Myrtle St",0,1,N/A
738679,"December 30, 2016",Virginia,Danville,"300 block of Wooding Avenue",0,1,N/A
738641,"December 30, 2016",Texas,"San Antonio","400 block of Nash Boulevard",1,1,N/A
738286,"December 30, 2016",Illinois,Chicago,"4800 block of West Ferdinand Street",1,0,N/A
738455,"December 29, 2016",Georgia,Newnan,"1363 Hwy 29 S",0,0,N/A
747563,"December 29, 2016",Pennsylvania,Clarksville,"120 North St",1,0,N/A
737709,"December 29, 2016",Louisiana,Shreveport,"5189 Shreveport Blanchard Highway",0,1,N/A
737732,"December 29, 2016",Louisiana,"New Orleans","100 block of Cypress Grove Court",1,1,N/A
737914,"December 29, 2016",Michigan,Detroit,"14000 block of Fordham",1,0,N/A
736680,"December 29, 2016",Georgia,Atlanta,"16th and Spring",0,1,N/A
738435,"December 29, 2016",Connecticut,"West Hartford","198 S Quaker Ln",0,0,N/A
737603,"December 29, 2016",Tennessee,Antioch,"Lori Drive",0,0,N/A
738217,"December 28, 2016",Florida,"Vero Beach","6375 W 85th St",0,0,N/A
737197,"December 28, 2016",Florida,"Tampa (Temple Terrace)","11500 Summit West",1,1,N/A
737050,"December 28, 2016","North Carolina",Bladenboro,"Ronald Britt Rd",0,0,N/A
739087,"December 28, 2016",Virginia,Abingdon,"27000 block of Fiesta Dr",0,1,N/A
735635,"December 28, 2016",Texas,Houston,"4600 block of Ridgerod Lane",0,1,N/A
735652,"December 28, 2016",Texas,"San Antonio","800 block of South Brownleaf Drive",0,3,N/A
736250,"December 28, 2016",Montana,"Wolf Creek","4000 block of Little Wolf Creek Road",0,1,N/A
736079,"December 27, 2016",Wisconsin,Milwaukee,"S 63rd St and W Euclid Ave",1,1,N/A
735221,"December 27, 2016",Ohio,Cleveland,"4133 Lorain Ave",1,0,N/A
735300,"December 27, 2016",Florida,Campbellton,"2600 block of Highway 2",0,1,N/A
735869,"December 27, 2016",Louisiana,"Baton Rouge",N/A,0,0,N/A
735649,"December 27, 2016",Texas,"San Antonio","150 block of Farrel Street",0,1,N/A
735567,"December 27, 2016",Kentucky,Louisa,"128 Aspen Drive",1,0,N/A
737593,"December 27, 2016",Ohio,Akron,"1000 block of Hammel Street",0,0,N/A
735996,"December 27, 2016",Georgia,Cartersville,"2471 Highway 411",1,0,N/A
